JobId, startTime, endTime, duration, queueName, startRunning, runningTime, isCPU
413,921.0,1144.0,223.0,queue3,1096.0,48.0,false
539,1116.0,1147.0,31.0,queue9,1123.0,24.0,false
407,903.0,1149.0,246.0,queue7,1132.0,17.0,false
405,895.0,1154.0,259.0,queue5,1122.0,32.0,false
415,921.0,1156.0,235.0,queue5,1135.0,21.0,false
416,921.0,1158.0,237.0,queue6,1123.0,35.0,false
549,1141.0,1167.0,26.0,queue9,1147.0,20.0,false
450,946.0,1169.0,223.0,queue0,1138.0,31.0,false
401,872.0,1174.0,302.0,queue1,1015.0,159.0,false
426,928.0,1175.0,247.0,queue6,1158.0,17.0,false
394,860.0,1176.0,316.0,queue4,1073.0,103.0,false
440,934.0,1179.0,245.0,queue0,1124.0,55.0,false
435,931.0,1181.0,250.0,queue5,1156.0,25.0,false
421,926.0,1184.0,258.0,queue1,1100.0,84.0,false
404,881.0,1185.0,304.0,queue4,1131.0,54.0,false
430,930.0,1186.0,256.0,queue0,1091.0,95.0,false
423,927.0,1192.0,265.0,queue3,1144.0,48.0,false
425,928.0,1196.0,268.0,queue5,1154.0,42.0,false
352,716.0,1199.0,483.0,queue2,998.0,201.0,false
445,936.0,1199.0,263.0,queue5,1181.0,18.0,false
460,958.0,1202.0,244.0,queue0,1169.0,33.0,false
569,1173.0,1203.0,30.0,queue9,1179.0,24.0,false
406,895.0,1209.0,314.0,queue6,1096.0,113.0,false
431,930.0,1209.0,279.0,queue1,1174.0,35.0,false
470,969.0,1216.0,247.0,queue0,1186.0,30.0,false
424,927.0,1222.0,295.0,queue4,1185.0,37.0,false
480,988.0,1226.0,238.0,queue0,1202.0,24.0,false
358,734.0,1228.0,494.0,queue8,952.0,276.0,false
417,925.0,1228.0,303.0,queue7,1149.0,79.0,false
414,921.0,1237.0,316.0,queue4,1176.0,61.0,false
559,1150.0,1238.0,88.0,queue9,1167.0,71.0,false
446,936.0,1239.0,303.0,queue6,1209.0,30.0,false
398,870.0,1244.0,374.0,queue8,1060.0,184.0,false
382,797.0,1245.0,448.0,queue2,1199.0,46.0,false
451,947.0,1247.0,300.0,queue1,1209.0,38.0,false
403,880.0,1248.0,368.0,queue3,1062.0,186.0,false
408,903.0,1249.0,346.0,queue8,1228.0,21.0,false
589,1198.0,1249.0,51.0,queue9,1238.0,11.0,false
599,1233.0,1263.0,30.0,queue9,1249.0,14.0,false
443,936.0,1266.0,330.0,queue3,1248.0,18.0,false
609,1245.0,1277.0,32.0,queue9,1263.0,14.0,false
428,929.0,1278.0,349.0,queue8,1249.0,29.0,false
456,956.0,1278.0,322.0,queue6,1239.0,39.0,false
465,969.0,1279.0,310.0,queue5,1199.0,80.0,false
418,926.0,1287.0,361.0,queue8,1244.0,43.0,false
453,947.0,1288.0,341.0,queue3,1266.0,22.0,false
392,853.0,1289.0,436.0,queue2,1245.0,44.0,false
455,955.0,1289.0,334.0,queue5,1196.0,93.0,false
438,932.0,1292.0,360.0,queue8,1278.0,14.0,false
461,958.0,1298.0,340.0,queue1,1247.0,51.0,false
579,1182.0,1299.0,117.0,queue9,1203.0,96.0,false
397,870.0,1301.0,431.0,queue7,1125.0,176.0,false
448,937.0,1305.0,368.0,queue8,1287.0,18.0,false
629,1270.0,1308.0,38.0,queue9,1299.0,9.0,false
458,958.0,1312.0,354.0,queue8,1292.0,20.0,false
441,934.0,1318.0,384.0,queue1,1184.0,134.0,false
434,931.0,1319.0,388.0,queue4,1222.0,97.0,false
639,1295.0,1319.0,24.0,queue9,1308.0,11.0,false
468,969.0,1320.0,351.0,queue8,1305.0,15.0,false
437,932.0,1325.0,393.0,queue7,1301.0,24.0,false
500,1060.0,1325.0,265.0,queue0,1226.0,99.0,false
619,1255.0,1326.0,71.0,queue9,1277.0,49.0,false
471,969.0,1330.0,361.0,queue1,1298.0,32.0,false
475,972.0,1336.0,364.0,queue5,1279.0,57.0,false
372,773.0,1339.0,566.0,queue2,1094.0,245.0,false
485,992.0,1341.0,349.0,queue5,1289.0,52.0,false
478,982.0,1342.0,360.0,queue8,1312.0,30.0,false
488,1003.0,1346.0,343.0,queue8,1320.0,26.0,false
481,988.0,1351.0,363.0,queue1,1318.0,33.0,false
510,1064.0,1351.0,287.0,queue0,1319.0,32.0,false
490,1003.0,1354.0,351.0,queue0,1216.0,138.0,false
491,1003.0,1358.0,355.0,queue1,1326.0,32.0,false
402,880.0,1363.0,483.0,queue2,1289.0,74.0,false
412,921.0,1364.0,443.0,queue2,1339.0,25.0,false
